,Month,Month Code,County,County Code,Deaths,latitude,longitude,Population,
1150,"Sep., 2012",2012/09,"Maricopa County, AZ",4013,11,33.34883,-112.49123,"3,945,000",
1183,"Nov., 2012",2012/11,"Maricopa County, AZ",4013,14,33.34883,-112.49123,"3,945,000",
1199,"Dec., 2012",2012/12,"Maricopa County, AZ",4013,10,33.34883,-112.49123,"3,945,000",
1214,"Jan., 2013",2013/01,"Maricopa County, AZ",4013,13,33.34883,-112.49123,"4,015,000",
1230,"Feb., 2013",2013/02,"Maricopa County, AZ",4013,10,33.34883,-112.49123,"4,015,000",
1243,"Mar., 2013",2013/03,"Maricopa County, AZ",4013,22,33.34883,-112.49123,"4,015,000",
1259,"Apr., 2013",2013/04,"Maricopa County, AZ",4013,21,33.34883,-112.49123,"4,015,000",
1273,"May, 2013",2013/05,"Maricopa County, AZ",4013,11,33.34883,-112.49123,"4,015,000",
1287,"Jun., 2013",2013/06,"Maricopa County, AZ",4013,14,33.34883,-112.49123,"4,015,000",
1303,"Jul., 2013",2013/07,"Maricopa County, AZ",4013,14,33.34883,-112.49123,"4,015,000",
1323,"Aug., 2013",2013/08,"Maricopa County, AZ",4013,12,33.34883,-112.49123,"4,015,000",
1343,"Sep., 2013",2013/09,"Maricopa County, AZ",4013,20,33.34883,-112.49123,"4,015,000",
1358,"Oct., 2013",2013/10,"Maricopa County, AZ",4013,22,33.34883,-112.49123,"4,015,000",
1375,"Nov., 2013",2013/11,"Maricopa County, AZ",4013,10,33.34883,-112.49123,"4,015,000",
1393,"Dec., 2013",2013/12,"Maricopa County, AZ",4013,12,33.34883,-112.49123,"4,015,000",
4,"Jan., 2014",2014/01,"Maricopa County, AZ",4013,10,33.34883,-112.49123,"4,090,000",
1420,"Feb., 2014",2014/02,"Maricopa County, AZ",4013,10,33.34883,-112.49123,"4,090,000",
1430,"Mar., 2014",2014/03,"Maricopa County, AZ",4013,15,33.34883,-112.49123,"4,090,000",
1443,"Apr., 2014",2014/04,"Maricopa County, AZ",4013,18,33.34883,-112.49123,"4,090,000",
1474,"Jun., 2014",2014/06,"Maricopa County, AZ",4013,20,33.34883,-112.49123,"4,090,000",
1493,"Jul., 2014",2014/07,"Maricopa County, AZ",4013,11,33.34883,-112.49123,"4,090,000",
1506,"Aug., 2014",2014/08,"Maricopa County, AZ",4013,17,33.34883,-112.49123,"4,090,000",
1521,"Sep., 2014",2014/09,"Maricopa County, AZ",4013,11,33.34883,-112.49123,"4,090,000",
1537,"Oct., 2014",2014/10,"Maricopa County, AZ",4013,14,33.34883,-112.49123,"4,090,000",
1555,"Nov., 2014",2014/11,"Maricopa County, AZ",4013,12,33.34883,-112.49123,"4,090,000",
1569,"Dec., 2014",2014/12,"Maricopa County, AZ",4013,17,33.34883,-112.49123,"4,090,000",
